team_id,bookmaker,market,collected_at,decimal_odds,source
POR,Swisslos,champion,2026-07-01T07:24:51,8.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
BRA,Swisslos,champion,2026-07-01T07:24:51,12.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
MAR,Swisslos,champion,2026-07-01T07:24:51,25.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
MEX,Swisslos,champion,2026-07-01T07:24:51,25.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
COL,Swisslos,champion,2026-07-01T07:24:51,30.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
NOR,Swisslos,champion,2026-07-01T07:24:51,30.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
USA,Swisslos,champion,2026-07-01T07:24:51,35.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
SUI,Swisslos,champion,2026-07-01T07:24:51,40.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
BEL,Swisslos,champion,2026-07-01T07:24:51,50.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
AUT,Swisslos,champion,2026-07-01T07:24:51,100.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CAN,Swisslos,champion,2026-07-01T07:24:51,120.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CRO,Swisslos,champion,2026-07-01T07:24:51,120.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
SEN,Swisslos,champion,2026-07-01T07:24:51,120.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
PAR,Swisslos,champion,2026-07-01T07:24:51,200.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
AUS,Swisslos,champion,2026-07-01T07:24:51,250.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
EGY,Swisslos,champion,2026-07-01T07:24:51,250.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
ALG,Swisslos,champion,2026-07-01T07:24:51,300.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
BIH,Swisslos,champion,2026-07-01T07:24:51,300.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
GHA,Swisslos,champion,2026-07-01T07:24:51,300.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
COD,Swisslos,champion,2026-07-01T07:24:51,400.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
CPV,Swisslos,champion,2026-07-01T07:24:51,400.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
